mixCode;loadSize;aggregate1_name;aggregate1_target;aggregate1_actual;aggregate2_name;aggregate2_target;aggregate2_actual;aggregate3_name;aggregate3_target;aggregate3_actual;total_cement_target;total_cement_actual;admixture1_name;admixture1_target;admixture1_actual;admixture2_name;admixture2_target;admixture2_actual;admixture3_name;admixture3_target;admixture3_actual;admixture4_name;admixture4_target;admixture4_actual;total_water_target;total_water_actual;ResistenciaConvertida;water_to_cement_ratio
280 BOM 12.5 6 F 7D AFP;84.0;GRAVA;0.0;0.0;ARENA;0.0;0.0;N/A;0.0;0.0;0.0;0.0;PLASTOL HDCMB;0.0;0.0;EUCON RD12;0.0;0.0;MAPEPLAST R18A;0.0;0.0;DYNAMON;0.0;0.0;0.0;0.0;280.0;
280 BOM-ACEL12,5 6 G 7D AFP BP FIB;148.5;GRAVA FINA;130188.0;130155.0;GRAVA COMUN;0.0;0.0;ARENA MEDIA;132675.0;132510.0;72030.0;71904.0;ACELGUARD;0.0;0.0;PLSTL HR-DS;0.0;0.0;ESTABILIZADOR;302.94;303.21;PLSTL 4000 ULTRA;261.36;263.13;19890.0;19761.0;280.0;0.2748247663551402
C 210 300 000;20.0;GRAVA;16912.0;16905.0;ARENA;18663.0;18660.0;ARENA CALIZA;0.0;0.0;6901.0;6905.0;EUCON WR 40;41.39;41.42;PLASTOL HR CM 200;51.79;51.92;AIRTOC D;0.0;0.0;EUCO ESTABILIZADOR 1;0.0;0.0;4421.0;4290.0;210.0;0.6212889210716872
C 210 301 000 RA3D;47.5;GRAVA;38136.0;38005.0;ARENA;42464.0;42375.0;ARENA CALIZA;0.0;0.0;20804.0;20825.0;EUCON WR 40;109.24;109.35;PLASTOL HR CM 200;148.2;148.44;AIRTOC D;0.0;0.0;EUCO ESTABILIZADOR 1;0.0;0.0;10640.0;10084.0;210.0;0.48422569027611045
C-0-28-50-1:3;282.0;GRAVA 3/4;0.0;0.0;ARENA;463944.0;464230.0;---;0.0;0.0;135360.0;135636.0;WR 340;812.16;816.3;PLASTOL CM 200;1082.88;1084.52;EUCOESTABILIZADOR;0.0;0.0;AIRTOC;0.0;0.0;47314.0;46120.0;0.0;0.3400277212539444
C-1000-0-28-8;32.0;GRAVA;0.0;0.0;ARENA;60704.0;61970.0;---;0.0;0.0;7360.0;7332.0;EUCON WR 340;36.8;36.6;PLASTOL HR-CM 200;58.88;58.78;---;0.0;0.0;---;0.0;0.0;5152.0;7084.0;70.0;0.9661756683033279
C-1000-4-28-6;631.75;GRAVA;596477.0;596820.0;ARENA;637504.0;637280.0;---;0.0;0.0;94773.0;95235.0;EUCON WR 340;473.83;468.58;PLASTOL HR-CM 200;663.39;622.09;---;0.0;0.0;---;0.0;0.0;100926.0;98714.0;70.0;1.0365306872473354
C-1000-4-28-6;10.5;GRAVA;9667.0;9625.0;ARENA;10626.0;53585.0;ARENA CALIZA;0.0;0.0;2415.0;2380.0;MAPEPLAST AC12;0.0;0.0;DYNAMON SXA-CO;0.0;0.0;EUCO ESTABILIZADOR 1;12.04;12.18;PLASTOL HMR 200;14.0;15.26;1799.0;1414.0;70.0;0.5941176470588236
C-1000-4-28-6;10.5;GRAVA;9758.0;9520.0;ARENA;10731.0;10675.0;ARENA CALIZA;0.0;0.0;2296.0;2261.0;MAPEPLAST N32;24.15;0.0;MAPETARD SD180;7.21;7.07;EUCO ESTABILIZADOR 1;0.0;0.0;PLASTOL HMR 200;0.0;0.0;1596.0;1610.0;70.0;0.7120743034055728
C-1200-0-28-8-RF;83.75;GRAVA;0.0;0.0;ARENA;133209.0;133120.0;ARENA CALIZA;0.0;0.0;24289.0;24292.0;MAPEPLAST AC12;0.0;0.0;DYNAMON SXA-CO;0.0;0.0;EUCO ESTABILIZADOR 1;134.0;133.76;PLASTOL HMR 200;145.0;145.52;16781.0;16493.0;0.0;0.6789478017454306
C-1200-0-28-8-RF;83.75;GRAVA;0.0;0.0;ARENA;133209.0;133120.0;ARENA CALIZA;0.0;0.0;24289.0;24292.0;MAPEPLAST AC12;0.0;0.0;DYNAMON SXA-CO;0.0;0.0;EUCO ESTABILIZADOR 1;134.0;133.76;PLASTOL HMR 200;145.0;145.52;16781.0;16493.0;84.0;0.6789478017454306
C-1200-0-28-8-RF;9.0;GRAVA 3/4;0.0;0.0;ARENA;14906.0;14990.0;---;0.0;0.0;2610.0;2608.0;WR 340;13.32;13.36;PLASTOL CM 200;15.66;15.72;AIRTOC;0.0;0.0;EUCOESTABILIZADOR;0.0;0.0;1806.0;1643.0;0.0;0.6299846625766872
C-1200-0-28-8-RF;9.0;GRAVA 3/4;0.0;0.0;ARENA;14906.0;14990.0;---;0.0;0.0;2610.0;2608.0;WR 340;13.32;13.36;PLASTOL CM 200;15.66;15.72;AIRTOC;0.0;0.0;EUCOESTABILIZADOR;0.0;0.0;1806.0;1643.0;84.0;0.6299846625766872
C-1200-0-28-8-RF;40.0;GRAVA 3/4;0.0;0.0;ARENA;64258.0;64610.0;---;0.0;0.0;11604.0;11593.0;WR 340;64.0;64.12;PLASTOL CM 200;69.56;69.57;EUCOESTABILIZADOR;0.0;0.0;AIRTOC;37.0;0.0;8342.0;8313.0;0.0;0.7170706460795307
